Time elapsed for reading surface mesh: 0.567819
Time elapsed for curvature and narrow region assessment: 31.5559
Number of unbalanced nodes: 123
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.6115
Time elapsed for constructing octree: 55.3388
Time elapsed for generating dual mesh: 17.0554
1177, 1995 1996 61 65 1179 
64 65 61 60 21 
Time elapsed for extracting interior dual mesh: 21.6678
badElem: 0 aveDist: 0.000219521 maxDist: 0.0631267 maxDistIdx: 15000
badElem: 6 aveDist: 0.000162416 maxDist: 0.0488978 maxDistIdx: 15000
badElem: 2 aveDist: 0.000104238 maxDist: 0.0278559 maxDistIdx: 14532
badElem: 0 aveDist: 7.83853e-05 maxDist: 0.024092 maxDistIdx: 14466
badElem: 0 aveDist: 4.45893e-05 maxDist: 0.0118667 maxDistIdx: 15000
badElem: 0 aveDist: 3.47224e-05 maxDist: 0.0114642 maxDistIdx: 15084
badElem: 0 aveDist: 2.87205e-05 maxDist: 0.0131351 maxDistIdx: 14532
badElem: 0 aveDist: 1.66323e-05 maxDist: 0.00912242 maxDistIdx: 15084
badElem: 3 aveDist: 1.03382e-05 maxDist: 0.00563428 maxDistIdx: 15095
badElem: 0 aveDist: 9.95719e-06 maxDist: 0.00704413 maxDistIdx: 15084
badElem: 0 aveDist: 1.46155e-05 maxDist: 0.0121738 maxDistIdx: 15084
badElem: 0 aveDist: 1.129e-05 maxDist: 0.0110312 maxDistIdx: 15084
badElem: 0 aveDist: 8.87477e-06 maxDist: 0.0104503 maxDistIdx: 15084
badElem: 0 aveDist: 6.77437e-06 maxDist: 0.00871177 maxDistIdx: 15084
badElem: 0 aveDist: 4.25223e-06 maxDist: 0.00642522 maxDistIdx: 15084
badElem: 0 aveDist: 2.7113e-06 maxDist: 0.00485155 maxDistIdx: 15084
badElem: 0 aveDist: 2.16382e-06 maxDist: 0.00323261 maxDistIdx: 15084
badElem: 0 aveDist: 4.85509e-06 maxDist: 0.00534705 maxDistIdx: 15084
badElem: 2 aveDist: 2.02949e-06 maxDist: 0.0024406 maxDistIdx: 15095
badElem: 0 aveDist: 3.30371e-06 maxDist: 0.0042363 maxDistIdx: 15084
badElem: 0 aveDist: 1.55674e-06 maxDist: 0.00259852 maxDistIdx: 15084
badElem: 0 aveDist: 3.66293e-07 maxDist: 0.000615297 maxDistIdx: 15084
badElem: 0 aveDist: 4.47342e-07 maxDist: 0.000711861 maxDistIdx: 15084
badElem: 0 aveDist: 2.56535e-06 maxDist: 0.00350508 maxDistIdx: 14466
badElem: 0 aveDist: 1.1131e-06 maxDist: 0.00137506 maxDistIdx: 15084
badElem: 0 aveDist: 1.59773e-06 maxDist: 0.00246788 maxDistIdx: 15084
badElem: 0 aveDist: 3.77558e-07 maxDist: 0.000550865 maxDistIdx: 15084
badElem: 0 aveDist: 4.47539e-07 maxDist: 0.000672873 maxDistIdx: 15084
badElem: 0 aveDist: 3.05448e-07 maxDist: 0.000526265 maxDistIdx: 15084
badElem: 0 aveDist: 4.7522e-08 maxDist: 0.000101704 maxDistIdx: 15095
badElem: 0 aveDist: 4.57115e-15 maxDist: 8.40046e-12 maxDistIdx: 17975
badElem: 26 aveDist: 0.00027511 maxDist: 0.0742952 maxDistIdx: 15000
badElem: 24 aveDist: 0.000328178 maxDist: 0.0856319 maxDistIdx: 15082
badElem: 15 aveDist: 0.000362624 maxDist: 0.107232 maxDistIdx: 15082
badElem: 13 aveDist: 0.000390021 maxDist: 0.124156 maxDistIdx: 15082
badElem: 14 aveDist: 0.000383844 maxDist: 0.120125 maxDistIdx: 15160
badElem: 6 aveDist: 0.000408034 maxDist: 0.124674 maxDistIdx: 15160
badElem: 0 aveDist: 0.00037312 maxDist: 0.114852 maxDistIdx: 15160
badElem: 11 aveDist: 0.000272493 maxDist: 0.065577 maxDistIdx: 15000
badElem: 0 aveDist: 0.00025669 maxDist: 0.0597437 maxDistIdx: 15000
badElem: 7 aveDist: 0.000250144 maxDist: 0.057192 maxDistIdx: 15000
badElem: 1 aveDist: 0.000248742 maxDist: 0.0642855 maxDistIdx: 15082
badElem: 6 aveDist: 0.000214556 maxDist: 0.0545482 maxDistIdx: 15082
badElem: 9 aveDist: 0.000181191 maxDist: 0.0438076 maxDistIdx: 15000
badElem: 0 aveDist: 0.000158602 maxDist: 0.0411824 maxDistIdx: 15160
badElem: 6 aveDist: 0.000138918 maxDist: 0.0450495 maxDistIdx: 15082
badElem: 3 aveDist: 0.000111601 maxDist: 0.0370372 maxDistIdx: 15082
badElem: 6 aveDist: 9.82546e-05 maxDist: 0.0332951 maxDistIdx: 15082
badElem: 8 aveDist: 0.00010792 maxDist: 0.0412218 maxDistIdx: 15082
badElem: 6 aveDist: 9.27217e-05 maxDist: 0.0367324 maxDistIdx: 15082
badElem: 0 aveDist: 7.10486e-05 maxDist: 0.027603 maxDistIdx: 15082
badElem: 6 aveDist: 6.29109e-05 maxDist: 0.0227999 maxDistIdx: 15084
badElem: 4 aveDist: 5.81122e-05 maxDist: 0.020956 maxDistIdx: 15084
badElem: 5 aveDist: 6.31906e-05 maxDist: 0.0236213 maxDistIdx: 15088
badElem: 12 aveDist: 5.60204e-05 maxDist: 0.0239742 maxDistIdx: 15084
badElem: 0 aveDist: 6.37426e-05 maxDist: 0.0236559 maxDistIdx: 15160
badElem: 0 aveDist: 4.33204e-05 maxDist: 0.0177462 maxDistIdx: 15084
badElem: 7 aveDist: 4.02423e-05 maxDist: 0.0230809 maxDistIdx: 15084
badElem: 0 aveDist: 3.21828e-05 maxDist: 0.0182586 maxDistIdx: 15084
badElem: 8 aveDist: 4.15876e-05 maxDist: 0.0224636 maxDistIdx: 15084
badElem: 3 aveDist: 3.20276e-05 maxDist: 0.0203046 maxDistIdx: 15084
badElem: 8 aveDist: 2.78943e-05 maxDist: 0.0188083 maxDistIdx: 15084
badElem: 4 aveDist: 2.41356e-05 maxDist: 0.0160151 maxDistIdx: 15084
badElem: 1 aveDist: 1.98286e-05 maxDist: 0.0141168 maxDistIdx: 15084
badElem: 2 aveDist: 1.67032e-05 maxDist: 0.00795641 maxDistIdx: 15158
badElem: 0 aveDist: 2.26257e-05 maxDist: 0.0139103 maxDistIdx: 15084
badElem: 2 aveDist: 2.66196e-05 maxDist: 0.0170082 maxDistIdx: 15084
badElem: 0 aveDist: 1.72685e-05 maxDist: 0.0136357 maxDistIdx: 15084
badElem: 0 aveDist: 2.1713e-05 maxDist: 0.014791 maxDistIdx: 15084
badElem: 0 aveDist: 1.53979e-05 maxDist: 0.0116159 maxDistIdx: 15084
badElem: 0 aveDist: 1.42074e-05 maxDist: 0.0120016 maxDistIdx: 15084
badElem: 14 aveDist: 1.44246e-05 maxDist: 0.0106761 maxDistIdx: 15084
badElem: 0 aveDist: 1.78154e-05 maxDist: 0.010432 maxDistIdx: 15084
badElem: 0 aveDist: 1.82633e-05 maxDist: 0.0100722 maxDistIdx: 15084
badElem: 4 aveDist: 2.09333e-05 maxDist: 0.013276 maxDistIdx: 15160
badElem: 2 aveDist: 1.15022e-05 maxDist: 0.00633374 maxDistIdx: 15160
badElem: 0 aveDist: 1.25014e-05 maxDist: 0.00673959 maxDistIdx: 15158
badElem: 0 aveDist: 1.5411e-05 maxDist: 0.0095271 maxDistIdx: 15160
badElem: 0 aveDist: 1.37621e-05 maxDist: 0.00841348 maxDistIdx: 15160
badElem: 1 aveDist: 1.78014e-05 maxDist: 0.0121255 maxDistIdx: 15084
badElem: 0 aveDist: 1.19887e-05 maxDist: 0.00867645 maxDistIdx: 15084
badElem: 0 aveDist: 1.3265e-05 maxDist: 0.00877137 maxDistIdx: 15084
badElem: 0 aveDist: 1.09528e-05 maxDist: 0.00793937 maxDistIdx: 15084
badElem: 0 aveDist: 1.17633e-05 maxDist: 0.00918649 maxDistIdx: 15084
badElem: 0 aveDist: 7.96302e-06 maxDist: 0.00771972 maxDistIdx: 15084
badElem: 0 aveDist: 1.2959e-05 maxDist: 0.0065897 maxDistIdx: 15084
badElem: 0 aveDist: 8.37494e-06 maxDist: 0.00626949 maxDistIdx: 15084
badElem: 0 aveDist: 4.50754e-06 maxDist: 0.0048255 maxDistIdx: 15084
badElem: 2 aveDist: 3.80713e-06 maxDist: 0.00269932 maxDistIdx: 15087
