Time elapsed for reading surface mesh: 0.562278
Time elapsed for curvature and narrow region assessment: 4.90483
Number of unbalanced nodes: 56
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.8685
Time elapsed for constructing octree: 25.3804
Time elapsed for generating dual mesh: 2.38169
Time elapsed for extracting interior dual mesh: 7.94421
badElem: 0 aveDist: 0.000234378 maxDist: 0.0201523 maxDistIdx: 4557
badElem: 1 aveDist: 0.000141455 maxDist: 0.0126284 maxDistIdx: 4557
badElem: 0 aveDist: 7.1847e-05 maxDist: 0.00603197 maxDistIdx: 4557
badElem: 0 aveDist: 3.14817e-05 maxDist: 0.00261052 maxDistIdx: 4557
badElem: 1 aveDist: 1.61717e-05 maxDist: 0.0015368 maxDistIdx: 4557
badElem: 0 aveDist: 4.91014e-06 maxDist: 0.000501038 maxDistIdx: 4345
badElem: 0 aveDist: 1.76978e-06 maxDist: 0.000249245 maxDistIdx: 4205
badElem: 0 aveDist: 8.2004e-07 maxDist: 0.000301772 maxDistIdx: 4207
badElem: 0 aveDist: 2.61043e-07 maxDist: 0.000123181 maxDistIdx: 4194
badElem: 0 aveDist: 3.74808e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 37 aveDist: 0.000914709 maxDist: 0.0568382 maxDistIdx: 4132
badElem: 3 aveDist: 0.000863318 maxDist: 0.0622298 maxDistIdx: 4557
badElem: 1 aveDist: 0.000698294 maxDist: 0.0503048 maxDistIdx: 4557
badElem: 0 aveDist: 0.000558013 maxDist: 0.0402384 maxDistIdx: 4557
badElem: 3 aveDist: 0.000407993 maxDist: 0.0304188 maxDistIdx: 4132
badElem: 2 aveDist: 0.000310952 maxDist: 0.0239122 maxDistIdx: 4132
badElem: 0 aveDist: 0.00021486 maxDist: 0.0162551 maxDistIdx: 4132
badElem: 1 aveDist: 0.000141506 maxDist: 0.0116745 maxDistIdx: 4132
badElem: 0 aveDist: 8.31173e-05 maxDist: 0.00604202 maxDistIdx: 4132
badElem: 0 aveDist: 4.3985e-05 maxDist: 0.00395725 maxDistIdx: 4132
badElem: 0 aveDist: 2.20449e-05 maxDist: 0.00219967 maxDistIdx: 4250
badElem: 0 aveDist: 1.06863e-05 maxDist: 0.00176639 maxDistIdx: 4250
badElem: 1 aveDist: 4.71884e-06 maxDist: 0.000986264 maxDistIdx: 4258
badElem: 0 aveDist: 4.09201e-06 maxDist: 0.00133126 maxDistIdx: 4250
badElem: 0 aveDist: 2.823e-06 maxDist: 0.000991257 maxDistIdx: 4250
badElem: 0 aveDist: 1.21668e-06 maxDist: 0.00060863 maxDistIdx: 4258
badElem: 0 aveDist: 8.70904e-07 maxDist: 0.000643904 maxDistIdx: 4258
badElem: 0 aveDist: 1.4886e-07 maxDist: 0.000120956 maxDistIdx: 4250
badElem: 0 aveDist: 3.85569e-15 maxDist: 3.33525e-12 maxDistIdx: 3001
badElem: 36 aveDist: 0.0010288 maxDist: 0.0576382 maxDistIdx: 4095
badElem: 2 aveDist: 0.00117501 maxDist: 0.0737727 maxDistIdx: 4095
badElem: 4 aveDist: 0.00102139 maxDist: 0.0646267 maxDistIdx: 4095
badElem: 0 aveDist: 0.000900729 maxDist: 0.0581951 maxDistIdx: 4132
badElem: 4 aveDist: 0.000743318 maxDist: 0.0495201 maxDistIdx: 4096
badElem: 2 aveDist: 0.000651375 maxDist: 0.0442572 maxDistIdx: 4132
badElem: 2 aveDist: 0.000534736 maxDist: 0.0358885 maxDistIdx: 4132
badElem: 4 aveDist: 0.00044224 maxDist: 0.031548 maxDistIdx: 4132
badElem: 4 aveDist: 0.000345522 maxDist: 0.023447 maxDistIdx: 4096
badElem: 0 aveDist: 0.000296441 maxDist: 0.0202668 maxDistIdx: 3994
badElem: 0 aveDist: 0.0002301 maxDist: 0.0173817 maxDistIdx: 3994
badElem: 4 aveDist: 0.000166188 maxDist: 0.013129 maxDistIdx: 3993
